stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Ionocyte,Mesenchymal_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Spermatocyte
24hpf,0,0,0,0,0,4.09,0,0,4.09,0
72hpf,0,1.07,0,1.07,5.35,0,0,0,1.07,0
21Day,0,0,0,0,4.02,0,0,2.68,0,0
3Month,0,0,0,0,0,0,0.32,0.32,0,0.32
22Month,0.55,0,1.09,0,0,0,0,0,0,0
