stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,0,12.26,0,0,0,4.09,0,0,0,8.17,20.43,4.09,0,0,0,0,4.09,0,0,0,0
72hpf,1.07,10.7,1.07,0,0,0,0,0,0,1.07,111.26,0,0,0,0,9.63,3.21,0,0,0,0
21Day,0,69.6,9.37,4.02,0,0,0,0,1.34,2.68,17.4,0,4.02,0,0,1.34,0,0,1.34,0,1.34
3Month,0,7.36,0,0,0.32,0,0.96,0,0.32,0.64,0,0,0,0,0,0,0,0.96,0,0.96,0
22Month,0,1.09,0,0,0,0,2.19,0.55,0,0,0,0.55,1.09,0.55,0.55,0,0,0,0,0,0
