stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,8.17,0,0,0,8.17,159.37,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,4.28,3.21,0,0,0,0,0,0,0,0,0,2.14,7.49,0,43.86,0,0,0,3.21,29.95,1.07,56.7,0,0,2.14,0,1.07,0,0
21Day,13.39,0,0,5.35,0,1.34,0,4.02,0,0,0,0,0,2.68,0,2.68,1.34,183.38,0,0,0,4.02,5.35,0,12.05,4.02,0,0,2.68,8.03,0,0
3Month,0.64,0.32,0.32,3.2,0,0,0.64,0.32,0.32,2.24,9.92,2.24,0.32,2.56,0,2.88,1.6,43.51,4.8,1.28,2.56,0.32,0,0,0,0.96,8.32,0,0,0.96,111.34,1.28
22Month,0,1.09,0.55,2.19,0,0,0.55,0.55,0.55,2.19,20.77,1.64,0,2.19,0.55,2.19,1.09,25.69,0,0.55,0,0,0,2.19,0,0,1.64,0,0,0,1.64,0
