stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,1.07,1.07,10.7,0,1.07,0,0,0,0,0,0,0,1.07,8.56,1.07,1.07,1.07,0,0,5.35,7.49,0,0,1.07,1.07,0,0,1.07,1.07,0,1.07,0,0,0
21Day,4.02,0,0,37.48,4.02,32.12,0,2.68,0,1.34,0,6.69,2.68,1.34,2.68,1.34,6.69,18.74,10.71,0,2.68,0,8.03,6.69,0,0,6.69,4.02,0,5.35,4.02,1.34,1.34,0,0,0,4.02
3Month,0.32,0.96,2.24,40.63,1.28,0,1.28,0.32,6.72,4.8,0,40.95,5.76,1.28,22.72,7.04,5.12,5.12,4.16,0,4.48,4.16,6.4,0,2.56,0.32,0.64,1.28,0.32,22.08,0.64,0.32,0,0.32,0.64,522.8,4.48
22Month,0,2.19,0,15.31,1.09,0,0.55,0,2.19,1.64,2.19,24.6,0,0,23.51,0,0,2.19,2.19,2.73,2.19,0.55,0.55,0.55,1.09,0,0,0,0,8.2,1.09,0,0,0,0,1.64,0.55
