stage,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,8.17,0,4.09,0,0,0
72hpf,0,1.07,0,2.14,0,2.14
21Day,0,0,1.34,5.35,1.34,1.34
