stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,4.09,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,2.14,0,12.84,0,0,0,0,0,0,0,0,1.07,0,0,7.49,0,0,2.14,0,11.77,12.84,0,4.28,0,0,4.28,0,5.35,0,0
21Day,0,0,9.37,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,22.76,0,2.68,0,0,5.35,2.68,1.34,0,0,0,0,0
3Month,0.96,1.6,33.59,0,0,0,0,3.84,1.28,0,1.28,3.84,1.28,0.96,9.6,0.32,0,3.84,0.64,0.96,0,0,0,0.96,1.6,0,0,0,0.64,0.96
22Month,0,0,22.96,1.09,0.55,0.55,0,8.2,1.64,0.55,1.64,0.55,1.09,1.64,12.03,0,0.55,1.09,0,0,0,0.55,0,0,0.55,0,0.55,0,0,0
