stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,2.14,0,4.28,1.07,0,0,1.07,0,0
21Day,1.34,0,0,1.34,2.68,0,1.34,0,0,1.34,0,44.17,0,1.34,0,0,0,2.68,0,1.34,0,0,2.68,17.4
3Month,0,0.32,0,0.96,0,0,0,0.32,0,0.64,1.92,1.28,0.32,0,0.32,0.96,0.64,0,0,0,0.32,0,0,21.44
22Month,0,1.64,0.55,2.19,0,1.09,0,0.55,0.55,1.09,0.55,0,0.55,0,1.64,1.09,0,0,0,0.55,0,0,0,25.15
