stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,4.09,0,0,0,0,0,0,0,0,4.09,0,12.26,0,118.51,0,8.17,0,0,0,0,0
72hpf,1.07,0,3.21,1.07,0,0,0,0,0,0,3.21,6.42,1.07,16.05,197.91,28.88,2.14,5.35,0,6.42,0,0,0
21Day,8.03,0,2.68,1.34,1.34,0,0,0,0,0,0,2.68,0,9.37,37.48,5.35,0,1.34,1.34,1.34,0,0,0
3Month,0,0.32,9.6,0,0,0.64,2.24,0.64,0.32,1.28,0.32,0.96,0.64,2.24,0.32,0.32,0.32,0.32,68.47,0,0.64,20.48,1.92
22Month,0,0,3.28,0,0,1.64,1.64,0,0,0,0,0,0.55,0.55,0,0,0,0,3.28,1.09,0,0,0
