stage,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,38.51,10.7,0,0,0,1.07,0
21Day,0,1.34,0,0,0,0,0,0,0,13.39,2.68,0,0,0,0,0
3Month,0.96,0,1.92,0.64,0.32,0.96,0,0.32,0.32,0.32,0,0.32,0.32,0.64,0,11.52
22Month,0,0,9.29,1.64,0,0,1.09,0,0,0,0,0,0,0,0,0
