stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,4.09,0,0,0,0,0,0,0,0,0,0,73.56,0,0,0,0,8.17,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,11.77,1.07,2.14,0,0,0,0,0,0,0,1.07,65.26,1.07,10.7,0,0,55.63,6.42,0,1.07,31.02,0,0,1.07,9.63,5.35,1.07,0,0,0
21Day,1.34,0,104.41,0,2.68,0,0,0,1.34,0,0,0,1.34,29.45,0,20.08,0,2.68,29.45,1.34,0,0,20.08,4.02,0,1.34,45.51,200.78,0,0,0,0
3Month,0,0,3.84,0.64,0,0.32,0.64,0,3.84,0.32,0.32,5.12,0.32,2.88,0.64,10.24,5.12,0.32,0.32,0,1.28,0,0.64,0.96,16,0,0.64,0,0.32,0,7.68,0
22Month,0,0.55,3.28,0,0,0.55,0.55,0.55,8.2,0,0,0,0,0,1.09,6.56,0,0,1.64,0,0.55,0,2.19,0,17.49,1.09,7.11,0,0.55,0.55,0,0.55
