stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
21Day,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,10.88,0.32,1.28,0,2.24,0.32,1.92,0.96,1.6,0.64,1.6,0.96,232.92,0.32,0.32,0.64,0.32,0.64
22Month,0.55,3.83,0,0,0.55,2.73,0,0,0.55,0,0.55,0,0,84.73,0,0,0,0,0.55
