stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,24.52,44.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.42,0,0,0,0,44.95,208.41,0,0,28.6,0,0,0,0,0,4.09,0,0,0
72hpf,17.12,10.7,13.91,2.14,4.28,0,0,0,0,0,0,0,0,1.07,0,0,8.56,1.07,88.79,0,0,1.07,0,460.01,43.86,1.07,0,73.82,0,2.14,19.26,1.07,1.07,10.7,0,0,0
21Day,21.42,9.37,9.37,4.02,12.05,0,1.34,0,0,0,0,2.68,0,2.68,0,4.02,9.37,2.68,167.32,0,0,18.74,0,113.78,21.42,0,2.68,53.54,9.37,0,9.37,2.68,2.68,2.68,1.34,0,1.34
3Month,0,4.16,7.04,0.32,0,0,0,0.32,0.64,2.88,0,15.68,2.88,0.64,1.92,0.64,4.16,1.92,14.08,2.88,0,1.6,0.32,0.64,0.32,0.64,0.64,0.32,0.64,3.84,0,0,0,0,3.2,3.84,3.2
22Month,0.55,7.65,3.28,0,0,1.09,0,0,2.19,3.83,5.47,62.87,1.64,0.55,6.56,0,0.55,1.09,13.12,1.09,2.73,2.19,0,0,0,0,0.55,1.09,0,0,0.55,0,0,0,0,0,0
