stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,16.35,0,0,0,0,0,24.52,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,5.35,2.14,0,0,0,0,0,0,0,0,0,2.14,17.12,0,2.14,0,0,0,2.14,0,1.07,1.07,0,0,0,0,0,0
21Day,1.34,0,2.68,24.09,0,2.68,0,0,0,0,1.34,0,0,0,2.68,29.45,1.34,2.68,0,0,0,1.34,1.34,0,4.02,0,1.34,1.34,0,0,0
3Month,0,0.32,0.32,43.83,0,0,0.32,22.4,0.32,0,10.24,1.6,0,5.44,2.24,31.36,1.92,1.92,0.32,1.92,0.64,0,0,0,0,0.96,4.8,0,0.32,8,1.28
22Month,0,0.55,0,3.83,0,0,0,3.83,0.55,0,21.32,0,0.55,2.19,0,2.19,0,1.09,0,0.55,0,0,0.55,0,0,0,1.09,0,0,0,0
