stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,36.78,0,0,0,0,0,0,0
72hpf,1.07,3.21,2.14,0,0,2.14,0,0,0,0,0,2.14,0,2.14,0,7.49,5.35,3.21,0,0,2.14,1.07,0,0
21Day,4.02,1.34,1.34,1.34,0,0,0,0,1.34,0,0,2.68,0,2.68,1.34,10.71,2.68,1.34,1.34,0,0,0,0,0
3Month,0,0.96,0,0,0.64,0.64,0.64,0.64,0,0.96,0,0.64,0,0.32,0.32,0,0,0,0,0.32,0,0,0.32,0
22Month,0,1.09,0,0,0,3.83,0.55,0.55,0,0,0,0,0.55,1.09,0,0.55,0,0,0,0,0.55,0,0,1.09
