stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,12.26,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,8.56,33.16,0,10.7,9.63,0,0,0,0,0,0,0,0,1.07,32.09,2.14,8.56,0,2.14,7.49,942.49,19.26,0,0,0,14.98,0,0,1.07,1.07,0,0,0
21Day,6.69,12.05,45.51,14.72,2.68,0,0,0,2.68,0,1.34,1.34,1.34,1.34,4.02,2.68,13.39,0,4.02,0,194.09,4.02,0,0,0,5.35,5.35,1.34,1.34,1.34,0,0,5.35
3Month,0,8,42.23,12.16,0,0.64,0,16.32,2.24,10.24,10.56,0.32,92.79,0.96,2.56,1.6,2.88,0,5.12,20.16,2.24,0,3.2,0.32,0,0,1.92,14.4,0.64,0,26.88,2.24,8
22Month,0,26.79,53.03,10.93,0,1.09,0.55,21.32,4.92,22.41,5.47,0.55,135.02,0,1.64,7.65,2.19,1.09,4.37,6.01,4.92,0,3.83,0,2.73,0,0,26.24,0.55,0,9.84,0,1.09
