stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,1.07,0,0,1.07,3.21,0,0,0,0,0,0,2.14,3.21,0,4.28,0,0,1.07,1.07,0,0,1.07,0,0,0,0,0
21Day,2.68,0,0,29.45,0,1.34,0,0,0,0,0,1.34,4.02,17.4,1.34,0,0,2.68,0,0,0,0,0,0,1.34,0,0,0
3Month,0,0.32,0.64,7.04,0,0,0,0.64,0,0.64,0.96,0.32,1.28,1.6,0.64,0.64,0,0,0,0,0.64,0,0,0.32,0,0.32,1.6,0
22Month,0,0,0,6.01,0,0,1.09,0,0.55,2.19,0,0,0,0.55,0,0.55,0.55,0.55,0.55,0,0.55,1.09,0,0,0,0,0,0.55
