stage,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neurosecretory_cell,T_cell
21Day,1.34,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0
3Month,3.2,0,0.96,0,0.32,0.32,0,0.96,0.64,0.32,0,4.16,0.32,0,0.64
22Month,1.09,0.55,0.55,0.55,0.55,1.09,0.55,1.09,0,1.64,1.09,0.55,0,0.55,0
