stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,12.26,0,0,0,0,0,28.6,0,0,0,0,0,8.17,0,4.09,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,1.07,0,0,0,0,0,0,0,0,3.21,2.14,0,2.14,0,0,0,1.07,16.05,5.35,0,0,0,3.21,0,0,0,0,0,0
21Day,1.34,0,0,1.34,1.34,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,1.34,0,9.37,4.02,0,1.34,0,1.34,1.34,4.02,1.34,0,0,0
3Month,0,0.64,0.32,6.08,0,0,0.96,1.6,0,0,27.2,2.56,0.64,5.44,2.88,1.28,3.2,4.48,0.32,0,0,1.92,0.64,0,0.32,0.32,0,0,1.28,135.34,0,0.96,32.63,1.28
22Month,0,0,0.55,4.37,0,1.09,0.55,3.83,4.37,0,38.81,0,0.55,1.09,0.55,0.55,1.64,0,0,1.09,0,0,1.09,0,0,0,4.37,0,0,38.27,0,0,0,2.19
