stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,20.43,40.86,0,4.09,0,0,0,0,0,4.09,12.26,20.43,89.9,0,0,0,44.95,739.64,12.26,0,0,0,4.09,0,0,0
72hpf,7.49,1.07,7.49,1.07,1.07,0,0,0,1.07,0,3.21,18.19,0,23.54,1.07,0,0,99.49,81.3,11.77,0,8.56,0,1.07,0,0,0
21Day,12.05,1.34,12.05,0,1.34,1.34,1.34,0,4.02,1.34,1.34,1.34,0,29.45,0,1.34,0,21.42,18.74,4.02,0,6.69,1.34,0,0,0,2.68
3Month,0,0,3.2,0,0,0,0.32,4.8,0.64,0.32,0.32,0.64,0.32,1.6,0,0,0.32,0,0,0.32,7.04,0,0,0,0.32,0.96,0.96
22Month,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0
