stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,20.43,0,0,0,0,20.43,44.95,12.26,0,0,0,0,0,4.09,20.43,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,18.19,1.07,3.21,0,0,0,0,0,0,0,0,0,0,0,29.95,59.91,4.28,1.07,0,6.42,0,7.49,3.21,7.49,3.21,0,5.35,0,0,4.28,0,1.07,0,0,0
21Day,4.02,1.34,17.4,64.25,2.68,4.02,0,1.34,0,4.02,2.68,0,0,6.69,0,4.02,9.37,8.03,4.02,8.03,8.03,0,0,2.68,0,5.35,1.34,1.34,1.34,2.68,1.34,0,1.34,2.68,0,0,0,6.69
3Month,0.32,0.64,17.28,64.63,0.32,0,0.32,0.32,0,75.51,3.2,0,0,197.73,8.64,0,36.79,8.64,4.8,10.56,7.68,1.92,0,14.08,21.76,1.92,0,3.2,0.32,0,3.52,19.84,0.32,0,0,1.28,30.08,9.28
22Month,0,12.03,21.32,27.88,0,0,2.19,0,0.55,48.65,5.47,6.56,0,662.55,2.73,1.64,86.92,4.92,4.92,7.11,18.59,0.55,10.39,8.2,3.28,2.19,1.09,4.92,1.09,0,1.09,6.01,2.19,0,0,1.09,0,2.73
