stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
72hpf,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,1.34,0,0,0,0,2.68,0
3Month,0.32,0.32,0.96,0.96,27.52,1.92,0,0,0.32,0.32,0,0.32,0.96,0,0.32
22Month,0,0,0,0.55,16.95,0,0,0.55,1.09,0,0.55,0,0,0,0
