stage,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,1.07,4.28,0,0,0,0,0,50.28,2.14,0,0,1.07,0
21Day,0,0,0,2.68,0,1.34,2.68,21.42,0,2.68,2.68,0,1.34
22Month,0,0,1.09,0,1.09,0.55,0,0,0,0,0,0,0
