stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
72hpf,1.07,1.07,0,0,0,0,2.14,1.07,4.28,0,0,0,217.17,5.35,0,1.07,0,1.07,38.51,16.05,1.07
21Day,0,2.68,1.34,0,0,0,0,0,4.02,0,0,0,46.85,4.02,0,1.34,1.34,0,16.06,16.06,1.34
3Month,0,0.64,0,0,0,0.64,0,0,0,0.32,0,0.32,0.32,0.32,0,0,0,0,0.32,0.32,0
22Month,0.55,0,0,1.09,0.55,5.47,0,1.09,0,0,1.09,0,0.55,0,0.55,0,0,0,38.81,0,0
