stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Primordial_germ_cell
72hpf,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0
21Day,0,2.68,0,0,0,1.34,1.34,6.69,1.34,0,0,1.34,0,0,0
3Month,0,1.92,0,0,2.56,1.92,0,0.64,0.64,0.32,1.28,0,0,0,0.32
22Month,0.55,0.55,0.55,0.55,6.56,3.83,0.55,0,0,0.55,0,0,0.55,0.55,0
