stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,4.09,0,0,0,0,4.09,0,0,0,0,0,0,8.17,277.88,8.17,0,0,0,4.09,44.95,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,44.93,0,0,0,3.21,0,0,0,11.77,0,1.07,1.07,55.63,4.28,0,1.07,0,4.28,8.56,0,0,0,0,0,0,1.07,0,0,0,0
21Day,4.02,0,1.34,12.05,0,21.42,0,10.71,0,13.39,0,5.35,0,136.53,0,1.34,1.34,137.87,10.71,0,0,0,12.05,14.72,1.34,1.34,0,8.03,8.03,2.68,2.68,0,0,0,143.22
3Month,0,1.92,0,9.92,0,0,0.32,0.32,0.32,39.67,0,10.56,3.84,3.52,5.44,0.32,3.2,82.23,2.56,0.64,0,0.96,0.64,0.64,0,0.32,0,0.32,1.28,12.48,0.32,0.32,1.6,4.16,95.66
22Month,0.55,1.09,0.55,6.01,0,0,2.19,1.09,0.55,262.39,2.19,22.41,7.11,12.57,3.83,0.55,1.64,144.86,4.92,0,1.09,0,0,0.55,0.55,0.55,0.55,0.55,0,9.29,0,0,0,0,63.41
