stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,0,12.26,4.09,0,0,0,4.09,0,4.09,0,0,0,0,0,0
72hpf,2.14,2.14,1.07,0,0,0,0,0,0,0,1.07,1.07,3.21,0,0,0,3.21,2.14,3.21,0,0,0,0,0,0
21Day,1.34,9.37,0,0,0,0,0,0,0,0,1.34,0,6.69,0,0,0,1.34,2.68,4.02,0,0,0,0,0,1.34
3Month,0,4.8,1.92,0.32,0.96,0,0.64,0.32,0.96,0,3.2,0.96,1.6,0.32,0,0.32,0.32,0,0,0.32,2.24,0,8.64,1.6,0.32
22Month,0.55,8.75,0,0,3.83,0.55,18.04,0.55,1.09,0.55,0,7.65,5.47,0,1.09,0.55,0,1.09,0.55,0,0.55,0.55,1.09,0,0.55
