stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,4.09,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.35,0,0,0,0,1.07,0,0,2.14,0,0,0,0
21Day,0,0,0,1.34,0,1.34,0,0,0,0,0,0,1.34,0,0,4.02,0,1.34,0,0,0,0,46.85,6.69,0,0,0,1.34,0,0,0,2.68,0,0,0
3Month,0.64,1.92,1.92,18.24,0,0,0,5.12,2.88,0,39.99,4.8,0.96,17.28,0.32,4.8,6.4,8.32,2.24,0.32,1.92,0.64,0.96,0,0.32,0.32,0,0.32,1.28,8,0,0,2.24,5.12,7.68
22Month,0.55,0.55,0,4.37,0.55,0,1.09,1.09,4.37,2.19,139.94,2.19,2.19,9.29,0,0,3.83,8.2,0,2.19,1.09,0,0.55,0,1.09,0,0.55,0,0.55,1.64,0,0.55,1.64,0,1.09
