stage,Enterocyte,Epithelial_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Radial_glia
24hpf,0,4.09,0,0,0,0,0,0,0,4.09,0,0
72hpf,0,1.07,0,0,0,0,1.07,1.07,17.12,16.05,0,4.28
21Day,0,0,0,0,1.34,0,0,0,5.35,1.34,0,0
3Month,0,0,0,0,0,0.32,0,0,0,0,0.32,0
22Month,0.55,0.55,0.55,0.55,0,0,0,0,0,0,0,0
