stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,16.35,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,2.14,0,0,2.14,1.07,0,0,0,0,0,0,0,1.07,0,0,3.21,0,0,0,0,1.07,121.96,9.63,0,3.21,0,2.14,0,0,0,1.07,0,0,0,0
21Day,2.68,0,0,18.74,1.34,1.34,0,5.35,0,0,0,0,0,4.02,0,0,4.02,2.68,5.35,0,2.68,0,37.48,6.69,0,0,0,0,0,0,0,1.34,1.34,0,0,4.02
3Month,0,2.24,1.92,20.48,0,0,0,1.28,5.12,3.2,0,13.76,2.56,1.28,4.48,0.96,5.44,3.2,2.88,0.32,2.88,0.32,0.96,0,2.24,0.32,0,0,0.96,12.16,0,0,0,1.6,3.84,5.44
22Month,0,2.19,1.64,8.2,0,0,0.55,0.55,3.83,2.19,1.64,30.61,0.55,1.64,6.01,0,1.09,7.65,4.92,0,1.09,0,0,0,4.92,0.55,0.55,0,1.09,2.19,1.09,0.55,0,0,0,2.73
