stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,6.42,4.28,0,0,0,0
21Day,0,0,0,0,0,0,1.34,0,2.68,0,2.68,0,0,0,0,0,1.34,0,0
3Month,0,0.64,0.32,0,5.12,0.32,0,1.28,0.96,0.32,0.32,0.32,0.32,0,0,0.32,0,0.32,0.32
22Month,0,0,0,0.55,3.83,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0
