stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,16.35,24.52,0,28.6,4.09,0,0,0,0,0,0,0,0,4.09,12.26,12.26,93.99,0,0,0,0,32.69,5880.34,0,0,12.26,0,0,0,0,0,20.43,0,0
72hpf,14.98,29.95,0,4.28,27.81,9.63,0,1.07,0,1.07,0,1.07,0,5.35,10.7,1.07,49.21,0,0,4.28,0,177.59,396.89,0,2.14,41.72,0,0,155.12,1.07,0,18.19,0,0
21Day,16.06,13.39,1.34,17.4,8.03,12.05,0,0,0,1.34,0,1.34,0,1.34,2.68,2.68,108.42,0,0,16.06,0,65.59,157.95,0,0,37.48,6.69,0,69.6,0,4.02,5.35,0,1.34
3Month,0.64,5.12,0,21.44,0.64,0,4.8,1.92,0.64,3.84,0.96,0,0.64,0.32,0.64,0.64,34.55,2.56,0,1.6,0.64,0,0.64,0,1.6,0,0.32,1.92,2.88,0,0,2.56,2.88,0
22Month,0,7.65,0,15.85,2.19,0,0,1.64,0.55,57.95,0,0.55,2.19,0,0,0.55,45.92,1.09,0.55,2.19,0,0,0.55,1.09,0,0.55,0,1.09,3.83,1.09,0,0,0,1.09
