stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,4.09,0,0,4.09,0,0,0,0,0,0,4.09,0,12.26,0,0,0,0,0,65.38,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,3.21,2.14,0,0,0,0,0,1.07,0,1.07,1.07,1.07,4.28,0,1.07,1.07,0,7.49,42.79,1.07,12.84,1.07,0,1.07,1.07,1.07,0,0
21Day,5.35,0,16.06,1.34,0,1.34,0,0,0,4.02,1.34,0,0,0,20.08,0,0,2.68,0,4.02,5.35,0,10.71,1.34,0,1.34,0,1.34,0,0
3Month,0,0.96,24,0,0.32,0.64,0.64,0.64,7.04,0.64,2.24,1.28,3.2,1.92,2.88,0.32,0,0,0.96,0.96,0,0,0,0,3.84,0.32,0,0.32,1.6,1.28
22Month,0,1.09,4.92,0,0,0,0.55,0.55,8.75,0.55,6.56,0,0,1.64,0,0,1.09,0,0,0,0,0.55,0,0,2.19,1.09,0,0,0,0
