stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,2.14,0,5.35,0,0,0,0,0,0
21Day,0,1.34,0,1.34,1.34,0,5.35,0,0,2.68,0,0,1.34,5.35,0,0,0,1.34,12.05,0,0,0,0,0,1.34,0,0,0,0,0,5.35
3Month,0,9.92,0.32,12.8,0,0.32,0.64,0.64,0.64,23.36,0,5.76,39.67,5.76,2.56,0.32,6.08,16,6.4,0.64,0.64,0.32,0.96,0,0,0.96,0.64,9.6,5.12,0.64,51.51
22Month,0.55,19.13,0,3.83,0,1.09,0.55,0,0.55,27.33,1.64,14.76,9.84,4.92,2.19,0,1.64,13.12,11.48,0,0,0,0,0,0,1.09,0,0.55,1.09,0,29.52
