stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,1.07,0,4.28,0,3.21,1.07,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,1.34,0,0,0,0,0,0,1.34,0,0
3Month,0,0,9.6,0,0.96,1.92,1.28,0.96,0.64,0.32,0,0.64,0.32,0.64,0,0,33.59,7.36,1.28
22Month,0,0.55,0.55,0,0,0,0.55,0,0,0,0,0,0,0,0,0,13.12,0,0
