stage,Cardiomyocyte,Granulocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,T_cell
24hpf,8.17,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,1.07,0,0,0,0
21Day,22.76,0,0,0,2.68,0,1.34,1.34,0,0
22Month,0,0.55,0.55,0.55,0,0,0,0,0.55,0.55
