stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,1.07,0,0,0,0,0
21Day,0,0,2.68,5.35,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0
3Month,0,0,0,0,0,0.32,0.32,0.96,0.32,4.16,3.2,0,0,0.96,0.32,0.32,0,0.32,0,0,0,0.64
22Month,1.09,0.55,2.19,0,0.55,0,1.64,0,0.55,9.84,8.2,0.55,0,0.55,1.09,0,0,0,0.55,0.55,0.55,0
