stage,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Mesenchymal_cell,Mt_rich_cell,Neural_progenitor_cell
24hpf,0,0,0,0,0,0,4.09
72hpf,0,0,0,0,1.07,0,3.21
21Day,0,0,0,0,0,0,1.34
22Month,0.55,0.55,0.55,2.73,0,1.64,0
