stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0
3Month,0.32,16.64,0.32,0,1.28,0.64,0.32,0.32,0,0,0,0.32,0.64,0.64,0,0.64,0,1.6,0.64,0.32
22Month,0,30.61,0,0.55,4.92,0,0,0,1.64,0.55,0.55,0,0,1.09,0,6.56,0.55,2.73,0,0
