stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,20.43,0,0,0,0,0,0,0,0,0,0,0,0,527.15,0,8.17,0,0,4.09,16.35,0,0,4.09,0,0,0,0,0,0
72hpf,54.56,33.16,2.14,2.14,0,0,0,0,0,0,1.07,0,2.14,758.48,2.14,5.35,0,0,27.81,17.12,1.07,0,11.77,0,2.14,0,2.14,0,0
21Day,76.3,45.51,0,2.68,0,1.34,0,0,1.34,0,0,0,1.34,36.14,2.68,6.69,0,0,6.69,1.34,0,0,1.34,1.34,1.34,5.35,6.69,0,0
3Month,0.32,32.31,0,0,0,0,0.32,0,1.6,0.96,0,0.64,0,0,0.32,0.64,0,0.32,0.64,0,0,0,0,0.32,0,0,0.64,0.64,0.32
22Month,0.55,8.75,0,0,0.55,0,0,0.55,26.79,0.55,0,0,0,0,2.73,0,1.09,0,1.09,0,0,1.09,0,3.28,1.64,0,0,0,0
