stage,Cardiomyocyte,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell
24hpf,0,0,0,0,0,0,0,0,8.17,4.09,0,0,0,0
72hpf,1.07,0,0,0,1.07,1.07,2.14,48.14,3.21,0,0,0,0,1.07
21Day,0,1.34,0,1.34,0,0,2.68,20.08,0,0,1.34,0,1.34,1.34
22Month,0,0,3.28,0.55,0,1.09,0,0.55,0,0,0,1.64,0,0
