stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
21Day,2.68,2.68,0,1.34,0,0,0,0,0,0,2.68,0,2.68,1.34,0,1.34,0,53.54,0,0
3Month,1.28,0,0.32,0.32,1.92,0.32,0.32,0.32,0.32,0.32,0.64,0.32,0,0,0.64,0,1.6,0.96,1.28,0.64
22Month,0,0,0,0.55,4.92,1.09,0,0.55,0,0,0,0,0,0,0,0,1.64,0,0,0
