stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,49.04,0,0,0,0,0,0,0,0,0,0,0
72hpf,31.02,0,2.14,2.14,2.14,0,0,0,0,0,0,0,0,0,3.21,0,0,1.07,105.91,31.02,0,0,0,4.28,1.07,0,4.28,0,1.07,0,0
21Day,14.72,1.34,8.03,1.34,1.34,5.35,0,0,0,0,1.34,0,0,1.34,12.05,0,1.34,1.34,45.51,8.03,0,0,0,6.69,1.34,2.68,2.68,1.34,4.02,0,1.34
3Month,1.28,0.32,1.28,0.64,0,0,0.32,0.32,21.12,0.32,0.32,1.28,1.28,0,5.76,0.64,0,0.32,0.64,0,1.28,0,0,0,0,31.36,0.96,0,0,1.28,0.96
22Month,0.55,0.55,0.55,0,0,0,0,0.55,6.01,0,0,0,0,0.55,6.56,0,0,0,0,0,0.55,0.55,1.09,0,0,23.51,0.55,0,0,0,0
