stage,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Ionocyte,Mesenchymal_cell,Nephron_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,4.09,4.09,0,0,0,0,0
21Day,0,2.68,0,0,0,0,0,0,0,0,0
3Month,0.64,0,0.32,0.32,0,0.32,0.64,0.32,15.36,0.32,18.88
22Month,0,0,0,1.09,0,0,0,0,3.28,0,0
