stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,93.99,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,3.21,0,4.28,11.77,16.05,0,9.63,0,0,7.49,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,1.34,0,0,0,10.71,5.35,4.02,1.34,12.05,1.34,0,1.34,0,1.34,1.34,0,0,0
3Month,0,0.96,0,0.32,0.96,2.56,0.64,0,0.32,0.64,0.32,0.64,0,0,0,0,0,1.92,0,0,0,0.32,0.32,0.32,0.32
22Month,0,1.64,0,1.09,2.19,16.95,0.55,0.55,1.09,0.55,0.55,1.64,0,0,0,0,0,0,0,0.55,0,0,0,0,0
