stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,27.81,22.47,0,32.09,90.93,128.37,12.84,0,1.07,0,0,1.07,63.12,108.05,8.56,2049.72,2.14,5.35,3.21,569.13,276.01,1.07,3.21,114.47,1.07,0,74.89,21.4,1.07,11.77,0,0
21Day,50.86,4.02,8.03,242.27,10.71,152.59,29.45,1.34,8.03,49.53,57.56,17.4,8.03,97.71,25.43,974.45,0,29.45,2.68,267.71,125.82,2.68,5.35,81.65,60.23,4.02,18.74,10.71,36.14,6.69,0,41.49
3Month,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0.32,0
