stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,17.6,0.32,0.96,0.32,7.04,1.6,3.84,1.92,0.64,1.6,1.6,0.32,0.64,0.96,1.92,0.32,0.32,1.28,51.83,0,1.28,432.25,1.92
22Month,0,2.19,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0.55,0
