stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,0,0,138.94,0,0,0,0,0,12.26,0,0,0,0,12.26,4.09,0,212.49,0,0,0,0,12.26,110.33,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,87.72,6.42,1.07,0,0,0,0,0,0,0,0,25.67,1.07,0,6.42,0,0,0,5.35,25.67,9.63,0,0,1.07,0,0,2.14,0,0,0,0,0
21Day,0,0,2.68,115.11,6.69,6.69,0,0,0,0,0,0,0,2.68,4.02,1.34,0,5.35,0,0,0,0,5.35,6.69,4.02,0,1.34,2.68,0,0,0,0,0,0,1.34
3Month,0.32,33.59,14.72,100.78,7.04,0,11.52,2.88,0,0,12.16,6.08,0,88.31,12.16,32.63,3.52,3.2,0.96,0,0.64,8.64,13.12,0,18.24,0.64,0,1.6,3.52,0.64,0.32,0,17.92,1.6,0
22Month,0,37.17,7.11,103.32,1.09,0,13.12,2.19,1.64,0,21.87,0.55,0.55,110.42,11.48,2.19,0,2.73,0,0.55,0.55,0,8.2,0,28.97,0,0,0,8.2,0,0,1.09,0,0,0
