stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,2.14,0,0,0,0,0,0
3Month,3.52,0.32,2.24,0.32,0.32,0.32,1.28,0.96,0,0.64,20.16,3.84,0.32
22Month,0,0,2.19,0,1.09,0,0,0,0.55,0,0.55,0,0
