stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,3.21,3.21,0,0,0,0,0,0
21Day,0,0,0,1.34,1.34,0,0,0,0,0,0,1.34,0,0,0,1.34,0,0,0,0,2.68,1.34,0,0,0,1.34,0,0
3Month,0,0.32,0.32,0.96,0,0.32,0.32,0.32,0,3.84,0.64,0,1.6,0.64,0.64,0.32,1.28,0.32,0,0.32,0.64,0,0.32,0.64,76.79,0.32,7.68,0.64
22Month,0,0.55,0,0.55,0,0.55,0,1.64,0.55,6.01,0,0,1.09,0,0,1.09,0,0.55,0.55,0,0,0,0,0,22.41,0,0,0
