stage,Hepatocyte,Immune_cell,Mesenchymal_cell,Neural_cell,Osteoblast
72hpf,0,0,0,1.07,0
21Day,0,0,0,0,2.68
3Month,0.64,0,0.32,0,0
22Month,0.55,0.55,0,0,0
