stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,1.07,0,0,0,0,0,205.4,0,2.14,0,0,6.42,1.07,0,0,0,0,1.07,0,0
21Day,0,0,0,30.79,2.68,0,0,0,0,0,1.34,0,0,8.03,1.34,0,5.35,0,2.68,0,0,1.34,1.34,0,0,0,0
3Month,0,0.32,0,42.55,0,0.32,0.64,0.64,1.92,0.64,0,1.6,7.04,0.32,0.64,0.64,0.64,1.28,0,0,0.32,0.64,0.64,0.32,0,0.32,0.64
22Month,0,1.64,0.55,18.59,0,0.55,0,0,7.65,0,0,0.55,2.19,1.09,0,0.55,0.55,0,0,0,0,0,0,0,0,0,0
