stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,1.07,0,2.14,3.21,0,0,0,0,0,3.21,3.21,0,0,2.14,0,0,1.07,0,0,0
21Day,1.34,0,1.34,2.68,0,0,0,1.34,0,0,4.02,0,0,5.35,1.34,0,0,0,2.68,1.34,0,0,1.34,1.34,0,1.34,0,0,0
3Month,0,0,1.6,7.68,4.48,0.96,0,4.48,0.96,0,19.84,0.32,0.96,0.96,0.96,0,6.08,3.52,0.32,0,0.96,0,0,0.64,0.64,0,0.96,0.96,1.28
22Month,0,0.55,2.19,0.55,0,0,0.55,6.01,0,0,15.31,0,0,0,1.64,0.55,0,0,0,0,0.55,0.55,0,0,0,0,0,0,1.09
