stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,6.42,6.42,0,1.07,13.91,0,0,0,0,0,0,0,0,0,0,0,1.07,3.21,0,55.63,0,0,14.98,0,8.56,18.19,1.07,0,0,52.42,0,0,2.14,0,7.49,0,0,0
21Day,6.69,9.37,0,4.02,4.02,1.34,0,0,0,0,0,0,0,0,1.34,1.34,0,1.34,0,108.42,0,0,84.33,0,4.02,6.69,1.34,0,0,8.03,2.68,1.34,1.34,1.34,0,0,0,1.34
3Month,0.32,47.67,0.32,29.44,1.28,0,0.64,1.28,3.2,4.48,0,0,9.92,3.2,0.64,8,0.32,5.44,4.16,72.31,4.48,0,124.78,1.92,0.64,0.32,1.92,0.96,0,0,2.56,31.99,0,0,1.92,13.12,23.04,3.84
22Month,0,63.96,0,19.68,0,0,0.55,0.55,0,4.92,27.33,0,22.41,2.19,1.09,3.83,1.09,6.01,2.19,57.4,1.64,1.09,89.65,0,0.55,1.64,13.12,1.09,0.55,0,0,30.07,0.55,0,0,4.92,0,2.19
