stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Spermatocyte
72hpf,2.14,1.07,0,0,0,0,0,0,1.07,26.74,2.14,0,1.07,0
21Day,1.34,0,1.34,0,0,0,1.34,1.34,0,17.4,1.34,1.34,0,0
3Month,0.96,0,0,0.64,0,0.64,0,0,0,0.32,0,0,0,1.28
22Month,0,0,0,1.64,0.55,0.55,0,0,0,0,0,0,0,0
