stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
3Month,0.32,0.32,1.92,0.96,0.64,4.16,0.64,1.28,0.32,0.64,0.96,0.32,0.32,0.64,0.64,0.96,0.32,23.68
22Month,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,1.09,0.55,0,0
