stage,Epithelial_cell,Granulocyte,Hepatocyte,Mesenchymal_cell,Neural_cell,Oligodendrocyte
72hpf,0,0,0,0,1.07,0
21Day,2.68,0,0,0,1.34,1.34
3Month,0.32,0.32,0.32,0.32,0,0.32
