stage,Epithelial_cell,Erythrocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,8.17,0,0,0,0,44.95,0,0,0,0
72hpf,2.14,1.07,1.07,4.28,9.63,3.21,1.07,0,0,1.07
21Day,2.68,0,0,4.02,1.34,2.68,4.02,1.34,1.34,0
