stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia
24hpf,12.26,0,0,0,0,4.09,16.35,0,351.43,0,0,0,0
72hpf,0,0,0,0,0,0,1.07,5.35,0,5.35,0,0,1.07
21Day,0,1.34,0,0,1.34,0,0,1.34,0,36.14,1.34,0,0
3Month,0,0,0,0,0,0,0,0,0,0,0,0.32,0
22Month,0,0,0.55,0.55,0,0,0.55,0,0,0,0,0,0
