stage,Epithelial_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Neural_cell
72hpf,0,0,0,0,1.07
21Day,1.34,0,0,0,0
22Month,0,0.55,0.55,0.55,0
