stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,456.8,0,0,2.14,3.21,0,0,0,0,0,0,0,0,0,7.49,0,4.28,0,0,0,11.77,4.28,0,0,3.21,0,0,2.14,0,0,0,0
21Day,230.23,0,0,10.71,4.02,0,0,0,0,1.34,0,2.68,1.34,1.34,0,1.34,20.08,0,1.34,0,8.03,8.03,0,1.34,8.03,2.68,0,0,0,0,0,1.34
3Month,113.58,0.32,0.32,405.7,0,0.64,0.32,3.2,3.84,16.32,5.76,1.28,52.79,3.84,14.72,4.48,5.44,0.32,57.91,1.28,0.32,0,0,0.32,0.32,4.8,7.04,0.64,0.32,3.2,1.6,1.28
22Month,84.73,5.47,1.09,34.99,0,0.55,0,2.19,10.93,24.6,2.73,0,5.47,2.19,6.01,4.92,4.92,0.55,13.12,0,0.55,0.55,0.55,0,0,0,1.09,0,0,0,0,3.83
