stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,0,0,1.07,0,0,0,0,0,0,1.07,0,3.21,0,2.14,1.07,0,0,0,0,0,0,0
21Day,0,9.37,0,0,0,0,0,0,0,0,0,1.34,0,13.39,2.68,0,1.34,1.34,1.34,1.34,1.34,4.02
3Month,0.32,3.84,0,0,0.32,0,10.88,0.32,0.64,0.64,0.32,0,0.32,0,0,0,0,2.88,0,0,0,0.64
22Month,0.55,2.19,0,0.55,1.09,1.09,94.57,1.64,1.09,0,0.55,1.09,4.37,0.55,0,0.55,0.55,15.85,0,0,0,1.09
