stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,4.09,8.17,16.35,0,0,0,0,4.09,28.6,0,0,159.37,0,0,0
72hpf,0,0,0,0,0,1.07,5.35,0,3.21,0,2.14,16.05,0,1.07,2.14
21Day,2.68,0,4.02,1.34,4.02,0,0,1.34,9.37,1.34,2.68,6.69,1.34,0,0
