stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,44.95,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,2.14,0,0,0,0,0,0,0,0,0,0,1.07,0,6.42,0,0,1.07,0,11.77,19.26,0,0,2.14,0,0,0,1.07,0,0,0
21Day,2.68,0,1.34,2.68,1.34,5.35,0,2.68,0,0,0,5.35,0,2.68,8.03,0,2.68,0,14.72,0,0,1.34,2.68,8.03,9.37,0,0,1.34,0,0,1.34,1.34,0,0,1.34
3Month,0,1.28,1.28,7.68,0,0,0.32,0,0.32,2.24,1.28,143.98,5.76,0.32,65.59,0.32,2.56,1.6,4.48,0.64,0,0.96,9.92,0.32,0,0.96,0,0,1.92,6.08,0,0.32,1.92,0.64,2.24
22Month,0,2.19,0.55,2.19,0,0,1.09,0,0,1.09,1.64,198.98,1.64,1.09,41.55,0.55,0.55,1.09,4.37,0.55,1.64,1.64,1.09,0,0,1.09,0.55,0,0.55,0.55,0,0,0,0,0.55
