stage,Epithelial_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell
24hpf,0,0,16.35,0,4.09
72hpf,0,0,1.07,1.07,1.07
21Day,5.35,1.34,1.34,2.68,0
22Month,0,0,1.09,0.55,0
